,PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,0,1,2
0,892,1.0,1.0,0.45272319662402744,0.0,0.0,0.015281580671177828,0.5,0.0,1.0,0.0
1,893,1.0,0.0,0.6175656072794409,0.125,0.0,0.013663090060062943,1.0,0.0,0.0,1.0
2,894,0.5,1.0,0.815376500065937,0.0,0.0,0.018908740708122825,0.5,0.0,1.0,0.0
3,895,1.0,1.0,0.3538177502307794,0.0,0.0,0.016908073949327893,1.0,0.0,0.0,1.0
4,896,1.0,0.0,0.287880785968614,0.125,0.1111111111111111,0.023983602730431916,1.0,0.0,0.0,1.0
5,897,1.0,1.0,0.18238164314914942,0.0,0.0,0.01800600082915438,1.0,0.0,0.0,1.0
6,898,1.0,0.0,0.3933799287880786,0.0,0.0,0.014891206669461744,0.5,0.0,1.0,0.0
7,899,0.5,1.0,0.3406303573783463,0.125,0.1111111111111111,0.056604230248832196,1.0,0.0,0.0,1.0
8,900,1.0,0.0,0.2351312145588817,0.0,0.0,0.014110458666029575,0.0,1.0,0.0,0.0
9,901,1.0,1.0,0.2746933931161809,0.25,0.0,0.04713766070721715,1.0,0.0,0.0,1.0
10,902,1.0,1.0,0.39697468497225086,0.0,0.0,0.015411575213749284,1.0,0.0,0.0,1.0
11,903,0.0,1.0,0.6043782144270078,0.0,0.0,0.050748620223090936,1.0,0.0,0.0,1.0
12,904,0.0,0.0,0.3010681788210471,0.125,0.0,0.16057390443488287,1.0,0.0,0.0,1.0
13,905,0.5,1.0,0.8285638929183701,0.125,0.0,0.050748620223090936,1.0,0.0,0.0,1.0
14,906,0.0,0.0,0.6175656072794409,0.125,0.0,0.11940564777490723,1.0,0.0,0.0,1.0
15,907,0.5,0.0,0.3142555716734801,0.125,0.0,0.05410739813385612,0.0,1.0,0.0,0.0
16,908,0.5,1.0,0.459316893050244,0.0,0.0,0.024105594605968193,0.5,0.0,1.0,0.0
17,909,1.0,1.0,0.2746933931161809,0.0,0.0,0.014102260811993537,0.0,1.0,0.0,0.0
18,910,1.0,0.0,0.3538177502307794,0.125,0.0,0.015468569817999833,1.0,0.0,0.0,1.0
19,911,1.0,0.0,0.5911908215745747,0.0,0.0,0.014102260811993537,0.0,1.0,0.0,0.0
20,912,0.0,1.0,0.7230647500989055,0.125,0.0,0.11594107850967697,0.0,1.0,0.0,0.0
21,913,1.0,1.0,0.11644467888698405,0.0,0.1111111111111111,0.006188989423206797,1.0,0.0,0.0,1.0
22,914,0.0,0.0,0.39697468497225086,0.0,0.0,0.06184168304285603,1.0,0.0,0.0,1.0
23,915,0.0,1.0,0.2746933931161809,0.0,0.1111111111111111,0.11980421963065935,0.0,1.0,0.0,0.0
24,916,0.0,0.0,0.630753000131874,0.125,0.3333333333333333,0.5121218935012878,0.0,1.0,0.0,0.0
25,917,1.0,1.0,0.65712778583674,0.125,0.0,0.028302115124416098,1.0,0.0,0.0,1.0
26,918,0.0,0.0,0.287880785968614,0.0,0.1111111111111111,0.1209753416358076,0.0,1.0,0.0,0.0
27,919,1.0,1.0,0.29447448239483054,0.0,0.0,0.014102260811993537,0.0,1.0,0.0,0.0
28,920,0.0,1.0,0.5384412501648425,0.0,0.0,0.05953203526170282,1.0,0.0,0.0,1.0
29,921,1.0,1.0,0.39697468497225086,0.25,0.0,0.04231498029001666,0.0,1.0,0.0,0.0
30,922,0.5,1.0,0.65712778583674,0.125,0.0,0.050748620223090936,1.0,0.0,0.0,1.0
31,923,0.5,1.0,0.3142555716734801,0.25,0.0,0.061483905270283246,1.0,0.0,0.0,1.0
32,924,1.0,0.0,0.4329421073453778,0.125,0.2222222222222222,0.04015972542654215,1.0,0.0,0.0,1.0
33,925,1.0,0.0,0.39697468497225086,0.125,0.2222222222222222,0.04577135170121086,1.0,0.0,0.0,1.0
34,926,0.0,1.0,0.3933799287880786,0.125,0.0,0.11272049299551928,0.0,1.0,0.0,0.0
35,927,1.0,1.0,0.24172491098509824,0.0,0.0,0.014110458666029575,0.0,1.0,0.0,0.0
36,928,1.0,0.0,0.39697468497225086,0.0,0.0,0.015712553569072387,1.0,0.0,0.0,1.0
37,929,1.0,0.0,0.2746933931161809,0.0,0.0,0.016908073949327893,1.0,0.0,0.0,1.0
38,930,1.0,1.0,0.3274429645259132,0.0,0.0,0.018542765081513996,1.0,0.0,0.0,1.0
39,931,1.0,1.0,0.39697468497225086,0.0,0.0,0.11027245763075773,1.0,0.0,0.0,1.0
40,932,1.0,1.0,0.5120664644599763,0.0,0.1111111111111111,0.026187654344120927,0.0,1.0,0.0,0.0
41,933,0.0,1.0,0.39697468497225086,0.0,0.0,0.051822148727810165,1.0,0.0,0.0,1.0
42,934,1.0,1.0,0.5384412501648425,0.0,0.0,0.0153221795673563,1.0,0.0,0.0,1.0
43,935,0.5,0.0,0.3933799287880786,0.0,0.0,0.025374310111545468,1.0,0.0,0.0,1.0
44,936,0.0,0.0,0.5911908215745747,0.125,0.0,0.10257896680493714,1.0,0.0,0.0,1.0
45,937,1.0,1.0,0.3274429645259132,0.0,0.0,0.015468569817999833,1.0,0.0,0.0,1.0
46,938,0.0,1.0,0.5911908215745747,0.0,0.0,0.057970539254838485,0.0,1.0,0.0,0.0
47,939,1.0,1.0,0.39697468497225086,0.0,0.0,0.015126992566498259,0.5,0.0,1.0,0.0
48,940,0.0,0.0,0.7890017143610708,0.0,0.0,0.14891148113361488,0.0,1.0,0.0,0.0
49,941,1.0,0.0,0.472504285902677,0.0,0.2222222222222222,0.031034733136428686,1.0,0.0,0.0,1.0
50,942,0.0,1.0,0.3142555716734801,0.125,0.0,0.11711220051482522,1.0,0.0,0.0,1.0
